name,team,battingStyle,bowlingStyle,playingRole,image,description
Keshav Maharaj,RR,Right hand Bat,Slow Left arm Orthodox,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/347.png,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Trent Boult,RR,Right hand Bat,Left arm Fast medium,Bowler,https://www.rajasthanroyals.com/static-assets/images/players/4338.png?v=7.06,
Trent Boult,RR,Right hand Bat,Left arm Fast medium,Bowler,https://www.rajasthanroyals.com/static-assets/images/players/4338.png?v=7.06,
Keshav Maharaj,RR,Right hand Bat,Slow Left arm Orthodox,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/347.png,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Shimron Hetmyer,RR,Left hand Bat,,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2022/1705.png,
Yuzvendra Chahal,RR,Right hand Bat,Legbreak Googly,Bowler,https://www.rajasthanroyals.com/static-assets/images/players/9844.png?v=7.06,
Yashasvi Jaiswal,RR,Left hand Bat,Legbreak,Opening Batter,https://assets.iplt20.com/ipl/IPLHeadshot2022/13538.png,
Ishan Kishan,MI,Left hand Bat,"Right arm Offbreak, Legbreak",Wicketkeeper Batter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA6kWYvp9j9-quoB3fu7attZuo8XbDuQTauQ&s,
Hardik Pandya,MI,Right hand Bat,Right arm Medium fast,Allrounder,https://www.financialexpress.com/wp-content/uploads/2024/04/Godrej-2024-04-15T123755.613.png,
Akash Deep,RCB,Right hand Bat,Right arm Fast medium,Bowler,https://ipltable.in/wp-content/uploads/2024/03/image-54-700x700.jpeg,"Akash Deep's is the ideal story of how years of toil gets you a dream Test debut where Rahul Dravid hands you the cap, and in the first hour of the game, you run through the opposition's top order."
Harpreet Brar,PBKS,Left hand Bat,Slow Left arm Orthodox,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/130.png,
Hardik Pandya(c),MI,Right hand Bat,Right arm Medium fast,Allrounder,https://www.financialexpress.com/wp-content/uploads/2024/04/Godrej-2024-04-15T123755.613.png,
Romario Shepherd,MI,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://www.mumbaiindians.com/static-assets/waf-images/25/16/3d/4-3/592-444/k02kJDnAiI.png,"A bowling allrounder, Romario Shepherd started for Guyana in domestic cricket with the List A format in 2016 and then first-class in 2017. But his hard-hitting batting as a finisher has instead helped him become a T20 specialist."
Jasprit Bumrah,MI,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/9.png,
Dinesh Karthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://www.royalchallengers.com/PRRCB01/public/styles/1061x767_landscape/public/2024-07/DSC_5223%20%281%29.jpg?itok=LfcJzmjF,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. "
